Tweet Id,Followers,Friends,Favorites,Day,Month,Date,Time,Year,Pos,Neg,Mentions_count,Hashtags_count,bin,Mentions_score,Hashtags_score,Mentions_score_avg,Hashtags_score_avg
1.21639E+18,53076,799,61,7,1,12,16,2020,1,-1,0,1,0,0,2091,0,2091
1.22419E+18,3970,530,81,1,2,3,4,2020,1,-1,0,0,0,0,0,0,0
1.23335E+18,15767,13932,48,5,2,28,11,2020,1,-3,0,2,0,0,24655,0,12327.5
1.24714E+18,6838,5736,56,1,4,6,12,2020,2,-3,0,0,0,0,0,0,0
1.24174E+18,1319,290,41,7,3,22,14,2020,2,-1,0,1,0,0,22891,0,22891
1.20993E+18,18487,243,289,3,12,25,19,2019,1,-3,0,0,0,0,0,0,0
1.23794E+18,15484,275,52,4,3,12,3,2020,1,-1,0,6,0,0,30811,0,5135.166667
1.24212E+18,15623,306,268,1,3,23,16,2020,1,-1,0,0,0,0,0,0,0
1.20231E+18,232,978,68,3,12,4,19,2019,3,-2,0,0,0,0,0,0,0
1.18745E+18,4146,3025,24,4,10,24,19,2019,3,-3,1,2,0,1954,3756,1954,1878
1.22352E+18,12503407,3,83,6,2,1,8,2020,1,-1,0,1,0,0,15,0,15
1.24003E+18,17,144,176,2,3,17,21,2020,1,-1,2,0,0,53,0,26.5,0
1.23954E+18,219,345,19,1,3,16,12,2020,3,-1,0,1,0,0,5,0,5
1.241E+18,12662,10732,14,5,3,20,13,2020,1,-2,0,0,0,0,0,0,0
1.24352E+18,444,275,38,5,3,27,12,2020,1,-1,2,4,0,123,211812,61.5,52953
1.24259E+18,5740,223,123,2,3,24,23,2020,2,-1,0,0,0,0,0,0,0
1.23937E+18,11827,12181,26,1,3,16,2,2020,3,-3,1,0,0,84,0,84,0
1.23926E+18,312501,474,48,7,3,15,18,2020,1,-1,0,2,0,0,7571,0,3785.5
1.21194E+18,12842,318,28,2,12,31,9,2019,2,-2,0,2,0,0,25,0,12.5
1.24713E+18,959744,167,14,1,4,6,11,2020,1,-1,0,0,0,0,0,0,0
1.24351E+18,623,471,144,5,3,27,11,2020,1,-1,0,0,0,0,0,0,0
1.20989E+18,12385,1177,82,3,12,25,17,2019,2,-4,0,0,0,0,0,0,0
1.2554E+18,1745,448,224,3,4,29,7,2020,3,-2,0,4,0,0,16381,0,4095.25
1.24502E+18,3756,240,110,2,3,31,16,2020,1,-3,0,0,0,0,0,0,0
1.2217E+18,21137159,1112,63,1,1,27,8,2020,1,-1,0,0,0,0,0,0,0
1.24727E+18,22535,221,51,1,4,6,21,2020,2,-3,0,0,0,0,0,0,0
1.22453E+18,40157,888,26,2,2,4,3,2020,2,-2,0,0,0,0,0,0,0
1.19932E+18,130931,574,43,2,11,26,13,2019,1,-3,0,1,0,0,2,0,2
1.25558E+18,2566,773,24,3,4,29,19,2020,2,-1,2,1,0,2,3,1,3
1.24666E+18,10096,5817,20,7,4,5,4,2020,1,-1,1,0,0,8,0,8,0
1.18237E+18,519,273,43,4,10,10,18,2019,1,-4,0,0,0,0,0,0,0
1.20242E+18,20924352,1107,111,4,12,5,2,2019,1,-1,0,0,0,0,0,0,0
1.1848E+18,15199,982,65,4,10,17,12,2019,1,-1,0,1,0,0,113,0,113
1.24994E+18,959171,3,98,2,4,14,5,2020,1,-1,0,0,0,0,0,0,0
1.23636E+18,17173,17381,55,6,3,7,18,2020,1,-1,0,0,0,0,0,0,0
1.21826E+18,134341,511,65,5,1,17,19,2020,1,-1,0,0,0,0,0,0,0
1.23958E+18,17044,3721,31,1,3,16,15,2020,2,-3,0,1,0,0,1469,0,1469
1.23824E+18,7472,7720,44,4,3,12,22,2020,1,-4,0,0,0,0,0,0,0
1.19622E+18,37644,4966,150,1,11,18,0,2019,2,-3,1,0,0,14,0,14,0
1.19798E+18,45796,3958,24,5,11,22,20,2019,1,-3,0,1,0,0,549,0,549
1.23999E+18,617056,2023,42,2,3,17,18,2020,1,-1,0,2,0,0,4451,0,2225.5
1.18238E+18,217,229,80,4,10,10,19,2019,3,-1,1,2,0,1899,93,1899,46.5
1.24226E+18,26024,316,92,2,3,24,1,2020,2,-1,0,0,0,0,0,0,0
1.20696E+18,919158,146,264,2,12,17,15,2019,3,-1,0,2,0,0,2,0,1
1.18066E+18,718237,1602,32,7,10,6,1,2019,1,-2,0,0,0,0,0,0,0
1.18004E+18,17252,10681,52,5,10,4,8,2019,2,-1,0,1,0,0,47,0,47
1.24098E+18,1093,74,7,5,3,20,12,2020,2,-1,0,4,0,0,5358,0,1339.5
1.23086E+18,24837,23652,9,5,2,21,14,2020,2,-1,0,0,0,0,0,0,0
1.24922E+18,1130,140,51,7,4,12,6,2020,1,-1,0,1,0,0,8655,0,8655
1.25302E+18,50382,52386,19,3,4,22,18,2020,1,-1,4,2,0,16051,21,4012.75,10.5
1.18366E+18,16333648,493,36,1,10,14,8,2019,1,-1,0,0,0,0,0,0,0
1.23525E+18,10156,3821,36,3,3,4,17,2020,1,-2,0,2,0,0,6985,0,3492.5
1.24318E+18,20370,19529,8,4,3,26,14,2020,1,-3,1,0,0,7791,0,7791,0
1.24319E+18,431141,31556,66,4,3,26,14,2020,1,-4,0,0,0,0,0,0,0
1.24219E+18,22966,1589,115,1,3,23,20,2020,2,-1,0,2,0,0,318,0,159
1.24809E+18,3850,470,82,4,4,9,3,2020,2,-4,0,0,0,0,0,0,0
1.24903E+18,4591,1927,17,6,4,11,17,2020,1,-1,0,0,0,0,0,0,0
1.20446E+18,79271,15271,70,2,12,10,18,2019,1,-1,0,0,0,0,0,0,0
1.20416E+18,6725,2596,20,1,12,9,21,2019,1,-1,0,0,0,0,0,0,0
1.19932E+18,22,76,191,2,11,26,13,2019,3,-1,2,0,0,1096,0,548,0
1.2377E+18,209,137,6,3,3,11,11,2020,1,-1,0,3,0,0,5188,0,1729.333333
1.23792E+18,43586,1328,75,4,3,12,1,2020,1,-1,0,0,0,0,0,0,0
1.23901E+18,33284,2091,154,7,3,15,1,2020,3,-1,0,2,0,0,9432,0,4716
1.18499E+18,1176,149,66,5,10,18,0,2019,2,-1,0,0,0,0,0,0,0
1.24106E+18,47643,1313,87,5,3,20,18,2020,1,-2,0,1,0,0,1,0,1
1.18407E+18,4751,1685,33,2,10,15,11,2019,1,-4,0,2,0,0,65,0,32.5
1.18959E+18,12603,488,257,3,10,30,16,2019,1,-1,3,0,0,178,0,59.33333333,0
1.21412E+18,37843,37940,19,1,1,6,9,2020,1,-1,0,0,0,0,0,0,0
1.22833E+18,16100,16537,45,5,2,14,14,2020,1,-4,0,0,0,0,0,0,0
1.1867E+18,502669,1022,354,2,10,22,17,2019,2,-3,0,0,0,0,0,0,0
1.25191E+18,6896,6852,84,7,4,19,16,2020,2,-1,0,0,0,0,0,0,0
1.22301E+18,2741,58,155,4,1,30,22,2020,1,-1,0,6,0,0,2145,0,357.5
1.21963E+18,0,10,7,2,1,21,14,2020,1,-1,0,2,0,0,334,0,167
1.23811E+18,18527,3163,179,4,3,12,14,2020,1,-1,0,0,0,0,0,0,0
1.23384E+18,589767,81374,165,6,2,29,19,2020,1,-4,0,0,0,0,0,0,0
1.24639E+18,32201,6326,108,6,4,4,11,2020,2,-1,0,1,0,0,54,0,54
1.1906E+18,2544212,581,241,6,11,2,11,2019,2,-1,1,1,0,379,6769,379,6769
1.2455E+18,164,139,97,3,4,1,23,2020,2,-1,0,0,0,0,0,0,0
1.2337E+18,17841,15549,31,6,2,29,10,2020,2,-1,0,0,0,0,0,0,0
1.25009E+18,224234,460,155,2,4,14,15,2020,2,-1,1,2,0,71,225,71,112.5
1.25224E+18,27762,3,131,1,4,20,14,2020,3,-1,0,0,0,0,0,0,0
1.24453E+18,1421549,163,64,1,3,30,7,2020,1,-1,0,2,0,0,4827,0,2413.5
1.23988E+18,635219,852,110,2,3,17,11,2020,2,-1,3,1,0,21892,258958,7297.333333,258958
1.24028E+18,278736,7747,12,3,3,18,13,2020,3,-1,0,0,0,0,0,0,0
1.23694E+18,5697,24,43,1,3,9,9,2020,1,-1,0,0,0,0,0,0,0
1.24319E+18,811399,1730,122,4,3,26,14,2020,1,-1,1,1,0,930,205754,930,205754
1.18493E+18,1219335,266,14,4,10,17,20,2019,2,-4,0,0,0,0,0,0,0
1.25114E+18,72005,680,44,5,4,17,13,2020,3,-1,0,2,0,0,26069,0,13034.5
1.23526E+18,59228,1331,128,3,3,4,17,2020,2,-1,0,0,0,0,0,0,0
1.22073E+18,170222,1452,5,5,1,24,15,2020,1,-1,0,0,0,0,0,0,0
1.18247E+18,44413,43903,125,5,10,11,1,2019,1,-2,0,0,0,0,0,0,0
1.24566E+18,28,13,26,4,4,2,10,2020,1,-3,0,3,0,0,7549,0,2516.333333
1.24169E+18,6104,530,117,7,3,22,11,2020,2,-1,0,5,0,0,260253,0,52050.6
1.23981E+18,1715903,193,33,2,3,17,7,2020,1,-1,0,3,0,0,27493,0,9164.333333
1.20522E+18,86576,94,35,4,12,12,20,2019,1,-2,0,2,0,0,912,0,456
1.22165E+18,66415,292,128,1,1,27,4,2020,1,-1,0,1,0,0,86,0,86
1.24306E+18,3073518,641,54,4,3,26,6,2020,1,-1,0,1,0,0,258958,0,258958
1.2235E+18,129,149,895,6,2,1,6,2020,1,-1,1,0,0,2,0,2,0
1.24648E+18,40102,1143,24,6,4,4,16,2020,2,-1,0,4,0,0,48647,0,12161.75
1.22345E+18,17499,17366,15,6,2,1,3,2020,1,-1,11,0,0,1498,0,136.1818182,0
1.22382E+18,18227,145,25,7,2,2,3,2020,3,-1,0,1,0,0,3937,0,3937
1.23848E+18,1100,753,32,5,3,13,15,2020,2,-3,5,3,0,267,205829,53.4,68609.66667
1.21809E+18,34854,5588,60,5,1,17,8,2020,1,-1,0,0,0,0,0,0,0
1.18445E+18,15059,1534,39,3,10,16,12,2019,1,-3,0,1,0,0,382,0,382
1.24699E+18,54479,3214,81,1,4,6,2,2020,3,-1,0,0,0,0,0,0,0
1.25589E+18,76100,3911,54,4,4,30,15,2020,4,-2,1,0,0,1294,0,1294,0
1.24293E+18,16857,9609,41,3,3,25,21,2020,1,-1,8,1,0,58,25994,7.25,25994
1.19242E+18,62350,1000,36,4,11,7,12,2019,1,-1,0,0,0,0,0,0,0
1.19723E+18,139222,66,80,3,11,20,18,2019,5,-1,0,0,0,0,0,0,0
1.23373E+18,17767,222,121,6,2,29,12,2020,2,-1,0,0,0,0,0,0,0
1.24369E+18,46706,109,46,6,3,28,0,2020,1,-1,0,2,0,0,258972,0,129486
1.2022E+18,2970,232,48,3,12,4,12,2019,1,-4,0,0,0,0,0,0,0
1.25529E+18,2625,562,20,3,4,29,0,2020,3,-1,1,0,0,3,0,3,0
1.25358E+18,891,217,49,5,4,24,7,2020,1,-4,2,3,0,30,2405,15,801.6666667
1.24027E+18,22770,24018,28,3,3,18,13,2020,2,-3,1,4,0,6,1771,6,442.75
1.23922E+18,26977,280,195,7,3,15,16,2020,2,-3,0,0,0,0,0,0,0
1.2245E+18,23345,1290,19,2,2,4,1,2020,2,-3,0,0,0,0,0,0,0
1.25246E+18,44148,2193,129,2,4,21,5,2020,1,-3,0,0,0,0,0,0,0
1.24971E+18,570424,259,37,1,4,13,14,2020,1,-1,0,0,0,0,0,0,0
1.18665E+18,7764643,3172,91,2,10,22,14,2019,1,-3,0,1,0,0,1,0,1
1.18447E+18,5688,735,179,3,10,16,14,2019,2,-1,0,0,0,0,0,0,0
1.24602E+18,130601,134,98,5,4,3,10,2020,3,-1,0,1,0,0,6,0,6
1.20209E+18,44007,876,255,3,12,4,5,2019,1,-1,0,0,0,0,0,0,0
1.18735E+18,18065,2200,109,4,10,24,13,2019,1,-1,1,0,0,145,0,145,0
1.24762E+18,15202,961,10,2,4,7,20,2020,1,-3,0,0,0,0,0,0,0
1.24591E+18,66,205,205,5,4,3,3,2020,3,-4,1,0,0,252,0,252,0
1.24253E+18,10681,3993,31,2,3,24,18,2020,1,-1,0,1,0,0,205754,0,205754
1.22622E+18,931,657,285,6,2,8,18,2020,3,-3,0,0,0,0,0,0,0
1.25262E+18,43303,91,164,2,4,21,15,2020,1,-1,0,0,0,0,0,0,0
1.19795E+18,22413,61,60,5,11,22,18,2019,2,-1,0,0,0,0,0,0,0
1.22701E+18,9857050,3543,35,1,2,10,23,2020,1,-3,0,0,0,0,0,0,0
1.2389E+18,168,179,70,6,3,14,18,2020,1,-1,0,1,0,0,47,0,47
1.25173E+18,41001,9029,52,7,4,19,4,2020,1,-1,1,0,0,768,0,768,0
1.21475E+18,8828823,558,194,3,1,8,3,2020,1,-2,2,0,0,24,0,12,0
1.25191E+18,7472002,1719,85,7,4,19,16,2020,2,-2,0,1,0,0,258958,0,258958
1.24234E+18,2507,614,149,2,3,24,6,2020,2,-1,0,0,0,0,0,0,0
1.25073E+18,1521,1920,105,4,4,16,10,2020,2,-1,0,0,0,0,0,0,0
1.2551E+18,4449,692,123,2,4,28,11,2020,1,-1,0,0,0,0,0,0,0
1.21251E+18,437,291,189,3,1,1,22,2020,1,-2,0,2,0,0,43,0,21.5
1.23103E+18,11228,791,69,6,2,22,1,2020,2,-1,0,0,0,0,0,0,0
1.19725E+18,42527,290,74,3,11,20,20,2019,2,-3,0,0,0,0,0,0,0
1.23811E+18,147694,5,45,4,3,12,14,2020,1,-1,0,0,0,0,0,0,0
1.19682E+18,3196,749,38,2,11,19,15,2019,1,-2,3,1,0,1201,103,400.3333333,103
1.2333E+18,30433,3452,57,5,2,28,7,2020,1,-3,0,1,0,0,1,0,1
1.23994E+18,8478,6972,12,2,3,17,15,2020,2,-4,2,0,0,582,0,291,0
