,Coefficients,p,vif
Tweet Id,1.2307344812897393e-18,0.0,2.1029105
Followers,1.5126949759794917e-08,4.934222546871328e-72,
Friends,7.851640801546958e-07,1.7195852235310612e-07,
Favorites,1.4079418773651122e-05,0.0,
Day,-2.550432314963151e-11,1.553110272619211e-06,
Month,-5.58216492144745e-11,1.300875512228708e-144,
Date,9.038903250591643e-12,0.42217934593351436,
Time,6.316005115060251e-11,4.624093668330877e-19,
Year,-3.9687793098785736e-10,3.8773412791819573e-26,
Pos,-2.0244497645077804e-12,5.108766159205562e-41,
Neg,-4.304745907768582e-12,8.112769983151196e-16,
Mentions_count,-3.762433211664262e-10,1.4927062033677394e-06,
Hashtags_count,-8.776211437053872e-11,1.200011722610681e-33,
Mentions_score,-2.1019669442212627e-06,0.002720946415566506,
Hashtags_score,-1.285248786372094e-06,1.7123485483443107e-14,
Mentions_score_avg,5.005012369066912e-06,5.512524033113655e-08,
Hashtags_score_avg,9.24477199044461e-07,0.0002638974724541646,
